Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-05-02,14.5689,14.6841,14.5689,14.5689,643954.6771403
2005-05-04,14.7403,14.9671,14.6841,14.7975,2007271.2794735
2005-05-05,14.8537,15.1439,14.8537,15.0822,2179110.5808233
2005-05-06,15.0822,15.201,14.9671,15.0251,1214383.1801606
2005-05-09,15.0251,15.1439,14.9108,15.0822,409637.47881283
2005-05-10,15.1439,15.1439,14.6841,14.7975,1271947.7914151
2005-05-11,14.6841,15.0251,14.627,14.9108,470943.28810565
2005-05-12,14.9108,15.2582,14.9108,15.2582,966880.82234528
2005-05-13,15.201,15.3716,15.1439,15.201,1557606.3997803
2005-05-16,14.9108,15.201,14.9108,15.201,414389.78165549
2005-05-17,15.0251,15.3153,15.0251,15.3153,2036544.8034109
2005-05-18,15.2582,15.4858,15.201,15.4858,2074903.9364952
2005-05-19,15.4287,15.4858,15.2582,15.3153,739960.01554184
2005-05-20,15.1439,15.3716,15.0822,15.3716,1727688.1209141
2005-05-23,15.2582,15.3716,15.2582,15.3716,853168.46970932
2005-05-24,15.3716,15.4287,15.2582,15.3153,1386670.1462329
2005-05-25,15.3153,15.4287,15.2582,15.3153,2041067.7607799
2005-05-27,15.4858,15.4858,15.201,15.3153,2243962.4239774
2005-05-30,15.3153,15.3153,15.201,15.201,518800.41114047
2005-05-31,15.1439,15.5991,15.0822,15.201,3288821.8099737
2005-06-01,15.2582,15.2582,15.0251,15.1439,1525538.8305058
2005-06-02,15.201,15.3153,15.1439,15.2582,1829390.7096145
2005-06-03,15.2582,15.3153,15.201,15.2582,958096.2291324
2005-06-06,15.201,15.3716,15.201,15.3153,1125956.1659905
2005-06-07,15.3153,15.4287,15.2582,15.3716,2162366.1560046
2005-06-08,15.2582,15.4858,15.2582,15.4858,2789440.7857625
2005-06-09,15.3716,15.5429,15.3153,15.5429,780024.90558615
2005-06-10,15.4858,15.7134,15.4287,15.4858,910687.87344258
2005-06-13,15.4858,15.9474,15.4287,15.8268,1988672.2436615
2005-06-14,15.7696,15.9474,15.5429,15.5991,1149550.0815885
2005-06-15,15.5991,15.7134,15.5429,15.6563,3251466.0633364
2005-06-16,15.5991,15.7696,15.5429,15.7134,2382981.0649061
2005-06-17,15.5991,15.8268,15.5991,15.8268,839875.2532195
2005-06-20,15.7134,15.9474,15.5991,15.7134,627302.872609
